group,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
presence,OU001-RT601 Motion,331bd2c0-00c1-45bb-80cc-c31e7f1f059d,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,b39766a6-263b-4ee6-ae23-c710b56d558f
presence,OU001-RT601 Motion,4fdb8280-9242-44c5-a85f-31b446632782,Presence,BooleanDetection,0.0,2026-09-02T06:34:51,b39766a6-263b-4ee6-ae23-c710b56d558f
presence,OU001-RT601 Motion,0b7ad9ee-d785-4f69-b7f6-254490e1f212,Presence,BooleanDetection,0.0,2026-09-02T06:34:55,45732ea0-5a90-4bfa-bcb6-367e616b4a33
presence,OU001-RT601 Motion,f4de26dc-fa69-4f50-971e-cf9271fd03ae,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,3ddc42b8-5772-4edb-b584-fa8c40209fc5
presence,OU001-RT601 Motion,a426471e-00ec-426c-aa2d-1d06b4bc5df4,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,3ddc42b8-5772-4edb-b584-fa8c40209fc5
presence,OU001-RT601 Motion,73640e3e-240f-4f70-8490-ea658422b611,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,3ddc42b8-5772-4edb-b584-fa8c40209fc5
presence,OU001-RT601 Motion,6ab8c9a3-043b-4aec-a2d6-eccc9e80de16,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,389830f2-5715-4089-90ba-83d19b3d2696
presence,OU001-RT601 Motion,0ddb0a42-2e1c-474a-b585-e12243bae64f,Presence,BooleanDetection,0.0,2026-09-02T06:34:51,389830f2-5715-4089-90ba-83d19b3d2696
presence,OU001-RT601 Motion,d929349a-6d87-4ded-80a1-68758b0b09c4,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,676682be-66c4-4a39-adf6-38de2f40f30e
presence,OU001-RT601 Motion,0233d332-64b9-4514-aeee-0e69fd027e0c,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,d1062339-227b-4e5b-a9a3-18ae8cd31702
presence,OU001-RT601 Motion,19a94eaa-a59c-4ee6-a797-2346c47d47b0,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,d1062339-227b-4e5b-a9a3-18ae8cd31702
presence,OU001-RT601 Motion,3459dc8e-f808-457a-bfe6-aba095f87fd3,Presence,BooleanDetection,0.0,2026-09-02T06:34:51,d1062339-227b-4e5b-a9a3-18ae8cd31702
