group,role,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
agent B,CPlt370 circuits,C'CPlt370'CPlt37030'TFl401,d60eac1f-8e6e-4a91-8b6c-37a6b5df7ca9,Temperature,Celsius,10.059999465942383,2026-09-02T06:35:40,
agent B,CPlt370 circuits,C'CPlt370'CPlt37030'TRt501,1ad1719c-e57a-4519-ab8b-06b566cee7da,Temperature,Celsius,11.179999351501465,2026-09-02T06:35:38,
agent B,CPlt370 circuits,C'CPlt370'CPlt37040'TFl401,e5ab3b77-519c-4d29-87e4-5a321e2ab480,Temperature,Celsius,9.920000076293945,2026-09-02T06:35:39,
agent B,CPlt370 circuits,C'CPlt370'CPlt37040'TRt501,54b9f94c-4fb4-4889-b239-ced477b29854,Temperature,Celsius,11.800000190734863,2026-09-02T06:35:40,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390000'TFl401,f1412b40-db2a-4045-8220-ea1785441920,Temperature,Celsius,8.639999389648438,2026-09-02T06:35:37,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390000'TFl402,486a049f-e63e-4da0-bc96-8165eb571718,Temperature,Celsius,8.859999656677246,2026-09-02T06:35:38,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390000'TRt501,00b92e60-cb56-4881-aae2-b3216f74a439,Temperature,Celsius,8.859999656677246,2026-09-02T06:35:37,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390010'Spmin,10bd989d-37a1-4f1a-9841-6e50e6468b2a,Temperature,Celsius,24.5,2026-09-02T05:52:52,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390010'TFl401,bd481101-c036-41c6-91bf-eca3079c0e09,Temperature,Celsius,32.599998474121094,2026-09-02T06:35:40,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390010'TFl402,cc928296-e1cd-4264-929e-7352f2b73151,Temperature,Celsius,14.15999984741211,2026-09-02T06:35:40,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390010'TRt501,4fa49c1c-13c3-4ea0-a8c6-9ac9031b455c,Temperature,Celsius,34.70000076293945,2026-09-02T06:35:38,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390010'TRt502,0af6108c-dc01-4c0f-ba73-f5873a4ee56e,Temperature,Celsius,14.239999771118164,2026-09-02T06:35:39,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390020'Spmin,47692cfa-ba65-4f2c-b53f-dddc682d23e6,Temperature,Celsius,34.5,2026-09-02T05:52:52,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390020'TFl401,75083815-ab38-49f2-ae48-e0eb48bcee5f,Temperature,Celsius,33.959999084472656,2026-09-02T06:35:39,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390020'TRt501,0cf236a2-473b-4ccf-b992-4031b6040883,Temperature,Celsius,28.53999900817871,2026-09-02T06:35:37,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390030'TFl401,ea451219-1d9e-4c27-bd1d-181fa49eb077,Temperature,Celsius,36.29999923706055,2026-09-02T06:35:36,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390030'TFl402,3d6cf375-39b2-4a70-8984-f92c5745ec44,Temperature,Celsius,34.63999938964844,2026-09-02T06:35:38,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390080'TFl401,c5db6427-9e0e-4369-94a5-70e39de360ab,Temperature,Celsius,8.779999732971191,2026-09-02T06:35:38,
