block,area,littera,role,unit,quantityKind,sensor_id,value_2026_09_13,age_h,note
weekly,Rotation PLAN 9,LB91-6196-TD401/8006,setpoint — MÖTE 6196,degC,CapabilityTypeSetpoint,c712c234-528e-4dc9-8b26-d0b629df4f31,22.0,0.3,
weekly,Rotation PLAN 10,LB104-7012-TB15B4/9070,room temp — KONTOR 7012,degC,Temperature,d53ce5b9-181d-49ee-844a-d8eb640665ee,22.1,0.3,
weekly,Rotation PLAN 10,LB104-7012-TB15B4/8006,setpoint — KONTOR 7012,degC,CapabilityTypeSetpoint,d857e7f0-ea3c-48c8-b624-445038c6cccd,22.0,0.3,
weekly,Rotation PLAN 9,LB91-6195-HD101/9070,room temp — MÖTE 6195,degC,Temperature,b0acc096-c3c9-47a9-86e9-5072b36e416d,21.4,0.3,
weekly,Rotation PLAN 9,LB91-6195-HD101/8006,setpoint — MÖTE 6195,degC,CapabilityTypeSetpoint,74f1755a-e72b-49a0-a2f0-8662a0c87d14,22.5,0.3,
weekly,Rotation PLAN 8,LB82-5181-VFD108/9070,room temp — ÖPPET KONTOR 5181,degC,Temperature,0afc1e9f-085e-4797-83a8-5f09f2328fb6,22.0,0.3,
weekly,Rotation PLAN 8,LB82-5181-VFD108/8006,setpoint — ÖPPET KONTOR 5181,degC,CapabilityTypeSetpoint,89efa410-f6c2-4968-839d-af3f19d1e97d,22.0,0.3,
weekly,Rotation PLAN 8,LB83-5192-VFD105/9070,room temp — ÖPPET KONTOR 5192,degC,Temperature,b8f58d80-db01-4f7e-8db0-9928175af244,21.9,0.3,
weekly,Rotation PLAN 8,LB83-5192-VFD105/8006,setpoint — ÖPPET KONTOR 5192,degC,CapabilityTypeSetpoint,6e679e98-a444-496e-9e85-cc21d9487677,23.0,0.3,
weekly,Rotation PLAN 9,LB91-6195-TD403/9070,room temp — MÖTE 6195,degC,Temperature,f0dd6e2e-4abc-464c-9880-199f5eeeb45d,22.4,0.3,
weekly,Rotation PLAN 9,LB91-6195-TD403/8006,setpoint — MÖTE 6195,degC,CapabilityTypeSetpoint,007763c9-0421-4ffe-b4fb-d3a77564e5e5,22.0,0.3,
weekly,Rotation PLAN 8,LB83-5192-HD102/9070,room temp — ÖPPET KONTOR 5192,degC,Temperature,06d14e43-cfeb-48cd-93c9-f152de81f3d3,22.6,0.3,
weekly,Rotation PLAN 8,LB83-5192-HD102/8006,setpoint — ÖPPET KONTOR 5192,degC,CapabilityTypeSetpoint,da5e02e1-1a34-4bcf-b3f7-af40ba5c2572,23.0,0.3,
monday-energy,Mestro energy (T-4d),Mestro-419518-heating-energy,"DH energy, 410 Fjärrvärme Historik",kWh,EnergyTotal,0ac48f20-1072-4dfe-aeb4-b70ee3736c97,0.0,99.3,"hourly buckets, 4 d behind"
monday-energy,Mestro energy (T-4d),Mestro-219286-electricity,"El main, 410 Ink EL Ellevio historik",kWh,ActiveEnergyTotal,75d6f1f4-8e3e-4d5d-902b-1125cd7a777c,0.0,96.3,"hourly buckets, 4 d behind"
monday-energy,Mestro energy (T-4d),Mestro-457347-electricity-energy,"El main, 410 Ink EL HANP1",kWh,ActiveEnergyTotal,920c6ccc-bd07-49d9-a017-beb5541c93cc,0.0,99.3,"hourly buckets, 4 d behind"
monday-energy,Mestro energy (T-4d),Mestro-419065-electricity-energy,El storförbrukare inkl. saluhall,kWh,ActiveEnergyTotal,f6a5ab48-a0be-49ea-85d9-a2891a99b6de,0.0,96.3,"hourly buckets, 4 d behind"
monday-energy,Mestro energy (T-4d),Mestro-219307-cooling-energy,Cooling energy KB1 saluhall,kWh,EnergyTotal,a2a94cbf-42e7-4d10-89d4-148fd2195b55,68430.812,96.3,"hourly buckets, 4 d behind"
monday-energy,Mestro energy (T-4d),Mestro-219312-cooling-energy,Cooling energy KB11 kyldiskar,kWh,EnergyTotal,0fc97d09-ecfd-40c8-91c8-ccaa218d99e5,39486.606999999996,100.3,"hourly buckets, 4 d behind"
monday-energy,Mestro energy (T-4d),Mestro-322911-electricity,"PV, 410 Solpanel",kWh,ActiveEnergyTotal,584af151-c24e-4422-90dd-134cb1976c66,132.0,102.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-366598-coldwater,City water main SVOA 1,m3,Volume,515f7ca4-2269-4360-b6e7-442b2fbed736,0.375576,107.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-366599-coldwater,City water main SVOA 2,m3,Volume,e82de2e2-35ea-47f1-bb48-e42ba1893bd5,3.082638,96.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-366597-coldwater,City water main SVOA 3,m3,Volume,60790146-1f73-444f-bac0-b1ea206d616e,0.78037,102.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-219860-coldwater,Emergency cooling water VKA12,m3,Volume,b5bca807-73f0-4ba1-8fa3-9c5709ce73d5,0.0,96.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-219264-coldwater,Emergency cooling water Frys saluhall,m3,Volume,d52ee82d-72bc-4742-9dcc-4d44e832b571,0.002002,96.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-219242-coldwater,Emergency cooling water VKA11:1/2,m3,Volume,1929da79-4472-4996-9243-56959c718403,0.0,96.3,"hourly buckets, 4 d behind"
monday-water,Mestro water (T-4d),Mestro-219848-coldwater,Emergency cooling water Franska Banken,m3,Volume,86bb4a29-9f88-4557-a1e9-4943230b24dd,0.0,98.3,"hourly buckets, 4 d behind"
